"lon","lat","Class"
-142.9,61.5,"A"
-132.7982,55.1872,"A"
-132.8202,55.2035,"A"
-141.5667,62.9375,"A"
-149.7853,61.0595,"A"
-141.3165,62.77335,"A"
-147.8142,64.89139,"A"
-85.16235,32.31435,"A"
-87.32655,33.28375,"A"
-86.4559,34.95605,"A"
-86.66465,34.5422,"A"
-87.02025,34.9263,"A"
-87.50905,34.80405,"A"
-87.1105,34.92855,"A"
-88.17885,33.13195,"A"
-88.08305,31.4515,"A"
-87.45876,33.97575,"A"
-87.96095,31.58255,"A"
-86.6333,34.4881,"A"
-87.00665,34.6802,"A"
-87.09069,31.16,"A"
-88.14999,33.13,"A"
-87.35664,33.21145,"A"
-87.31821,33.26035,"A"
-86.52105,34.7325,"A"
-85.4258,32.6218,"A"
-86.64066,33.3674,"A"
-86.4664,33.6205,"A"
-86.7891,33.8132,"A"
-87.24547,32.30673,"A"
-86.99782,31.00002,"A"
-85.705,32.43,"A"
-85.625,33.35,"A"
-86.17524,34.27607,"A"
-86.5,33.59,"A"
-86.581,32.184,"A"
-86.17122,33.36305,"A"
-86.6575,34.71139,"A"
-87.91833,30.7113,"A"
-86.4891,32.76967,"A"
-85.35995,31.86801,"A"
-87.53395,33.8957,"A"
-87.53395,33.8957,"A"
-87.77686,34.70112,"A"
-92.34083,34.55056,"A"
-92.38222,36.19444,"A"
-92.385,36.33528,"A"
-93,34.08,"A"
-93.1,34.25,"A"
-94.3643,33.76986,"A"
-91.735,34.787,"A"
-90.51056,36.12083,"A"
-92.03389,33.82111,"A"
-93.83426,35.9975,"A"
-93.15208,35.42097,"A"
-93.20389,33.88861,"A"
-93.886,33.26666,"A"
-91.1125,36.19791,"A"
-92.58667,34.56444,"A"
-91.87,36.37111,"A"
-94.23417,36.20611,"A"
-94.45417,34.70694,"A"
-94.44694,36.18333,"A"
-91.45889,35.64861,"A"
-93.94583,36.34167,"A"
-91.08056,34.88111,"A"
-93.13361,35.27833,"A"
-93.9475,33.18639,"A"
-92.40778,34.53167,"A"
-94.356,35.09306,"A"
-91.27056,33.7985,"A"
-93.74,36.41,"A"
-91.51306,35.44944,"A"
-92.61493,33.14663,"A"
-92.12,34.87,"A"
-93.75723,36.31519,"A"
-92.64423,33.2467,"A"
-92.64066,33.26462,"A"
-93.162,34.285,"A"
-93.75313,35.34572,"A"
-90.32,35.0194,"A"
-94.3745,34.369,"A"
-93.07654,34.44652,"A"
-93.89135,33.14759,"A"
-94.229,35.36335,"A"
-92.63179,36.29871,"A"
-110.1835,31.99003,"A"
-110.8403,34.90831,"A"
-109.4276,36.09081,"A"
-111.5,34.4,"A"
-109.3191,33.6247,"A"
-109.29,36.54165,"A"
-111.938,35.656,"A"
-109.64,34.325,"A"
-109.675,32.815,"A"
-109.44,34.6,"A"
-111.69,33.85,"A"
-110.4298,33.99989,"A"
-112.6432,33.3785,"A"
-111.1367,34.28939,"A"
-111.8634,35.241,"A"
-110.165,34.1,"A"
-112.5421,34.55154,"A"
-110,34,"A"
-119.6436,37.35944,"A"
-119.9833,38.93333,"A"
-120.0914,38.9575,"A"
-124.1625,40.80222,"A"
-119.836,38.28085,"A"
-121.9139,40.33556,"A"
-119.2119,37.23389,"A"
-119.9065,38.17677,"A"
-120.6781,41.41,"A"
-120.205,38.93,"A"
-119.9833,38.93333,"A"
-120.1358,38.86,"A"
-118.9975,37.35861,"A"
-120.1877,38.06615,"A"
-118.8489,36.10222,"A"
-119.9811,38.19753,"A"
-122.4306,41.45833,"A"
-122.3839,41.42806,"A"
-119.2642,38.04806,"A"
-122.7325,40.63556,"A"
-120.2339,38.03898,"A"
-118.1303,36.05278,"A"
-119.8633,38.26661,"A"
-122.9958,41.82417,"A"
-123.1317,41.3657,"A"
-122.5833,38.25583,"A"
-120.8908,39.21278,"A"
-119.2569,37.91111,"A"
-116.8625,33.2675,"A"
-122.2703,41.21361,"A"
-120.2653,39.3225,"A"
-121.6156,40.92911,"A"
-123.4817,39.68833,"A"
-120.0133,38.85556,"A"
-119.9833,38.93333,"A"
-123.8692,40.26639,"A"
-123.8692,40.26639,"A"
-121.495,36.2485,"A"
-122.3775,40.8875,"A"
-122.1781,39.92778,"A"
-121.0161,39.26361,"A"
-123.4817,39.68833,"A"
-123.7675,39.22361,"A"
-118.972,37.5703,"A"
-120.5836,38.72139,"A"
-121.58,39.205,"A"
-124,40.465,"A"
-119.2119,37.23389,"A"
-118.7402,36.0438,"A"
-120.3275,39.31917,"A"
-120.2434,38.0312,"A"
-121.7,37,"A"
-122.1667,40.75,"A"
-123.55,40.85,"A"
-120.6033,38.90333,"A"
-120.201,36.7818,"A"
-122.278,40.7974,"A"
-121.2919,35.5565,"A"
-121.7146,36.3779,"A"
-123.35,41.75,"A"
-119.5483,38.3068,"A"
-121.0517,39.25396,"A"
-123.85,41.65,"A"
-123.2718,40.7485,"A"
-123.35,41.75,"A"
-121.4871,37.39555,"A"
-120.3784,39.50435,"A"
-122.8055,40.6789,"A"
-120.2201,38.86165,"A"
-118.9166,37.58325,"A"
-124.0687,41.21385,"A"
-122.6667,40.7333,"A"
-121.7138,38.4906,"A"
-123.1668,41.8333,"A"
-118.4333,34.6167,"A"
-123.056,41.28996,"A"
-123.2393,39.83929,"A"
-119,37.9333,"A"
-123.3899,39.51489,"A"
-119.7853,38.33115,"A"
-119.2916,34.625,"A"
-116.5333,33.95002,"A"
-118.375,36.70835,"A"
-121.07,37.475,"A"
-123.0585,38.83996,"A"
-118.125,36.79165,"A"
-119.9254,34.73389,"A"
-123.1749,41.98645,"A"
-120.2083,38.79998,"A"
-121.18,39.705,"A"
-118.5834,34.76666,"A"
-123.4498,41.65925,"A"
-121,38.25,"A"
-114.4419,50.4023,"A"
-114.2347,50.0865,"A"
-114.3957,55.26332,"A"
-114.1397,53.62819,"A"
-115.8742,52.51666,"A"
-117.1638,56.12543,"A"
-113.0987,53.92005,"A"
-116.0426,50.84333,"A"
-121.3177,49.3402,"A"
-119.665,53.08,"A"
-121.3324,56.3321,"A"
-122.1751,50.80041,"A"
-123.12,59.61,"A"
-123.2054,49.94374,"A"
-123.94,49.54,"A"
-123.8562,49.51069,"A"
-120.4736,53.59444,"A"
-122.0064,54.23708,"A"
-121.3976,49.62125,"A"
-119.8664,49.09555,"A"
-122.1171,49.4068,"A"
-121.525,49.175,"A"
-121.94,49.24,"A"
-117.8504,49.28569,"A"
-118.398,51.05747,"A"
-124.2872,48.83319,"A"
-123.6171,48.56704,"A"
-125.3675,49.26528,"A"
-122.6089,49.0922,"A"
-119.8076,49.73385,"A"
-115.5743,50.29765,"A"
-123.3647,48.35765,"A"
-118.188,50.58304,"A"
-127.735,50.8604,"A"
-124.6929,49.4085,"A"
-116.5133,49.41289,"A"
-98.03333,50.25,"A"
-96.17149,50.5697,"A"
-99.11815,52.9884,"A"
-97.595,54.245,"A"
-100.9129,50.91725,"A"
-67.05334,45.6746,"A"
-64.4627,45.98335,"A"
-79.5985,43.2114,"A"
-79.1338,45.01904,"A"
-79.76308,44.86073,"A"
-81.00553,49.16669,"A"
